"Date of Prequalification ","Vaccine Type","Commercial Name",Presentation,"No. of doses",Manufacturer,"Responsible NRA"
16/01/2025,"Hepatitis B (Paediatric)",BEVAC®,Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
20/01/2025,"Hepatitis B",BEVAC®,Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
01/04/1998,"Haemophilus influenzae type b",Act-HIB,Vial,1,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
08/05/2017,"Diphtheria-Tetanus-Pertussis (acellular)",Adacel,Vial,1,"Sanofi Pasteur Limited","Health Canada - Santé Canada"
11/03/1999,Diphtheria-Tetanus,"Adsorbed DT Vaccine",Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
07/02/2020,"Influenza, seasonal (Trivalent)",Afluria®,Vial,10,"Seqirus Limited","US Food and Drug Administration- Office of Vaccine Research and Review"
05/03/2019,"Influenza, seasonal (Quadrivalent)","Afluria® Quadrivalent",Vial,10,"Seqirus Limited","US Food and Drug Administration- Office of Vaccine Research and Review"
14/02/2023,Varicella,"BARYCELA inj.",Vial,1,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
01/01/1987,BCG,"BCG Freeze Dried Glutamate vaccine",Ampoule,10,"Japan BCG Laboratory","Pharmaceutical and Medical Devices Agency"
01/01/1987,BCG,"BCG Freeze Dried Glutamate vaccine",Ampoule,20,"Japan BCG Laboratory","Pharmaceutical and Medical Devices Agency"
29/05/2003,BCG,"BCG Vaccine",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
03/12/2024,BCG,"BCG Vaccine","Vial + Ampoule",20,"GreenSignal Bio Pharma Pvt Limited","Central Drugs Standard Control Organization"
01/02/1991,BCG,"BCG Vaccine",Ampoule,10,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
01/02/1991,BCG,"BCG Vaccine",Ampoule,20,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
27/09/1994,BCG,"BCG Vaccine AJV","Two vial set (active + excipient)",10,"AJ Vaccines A/S","Danish Medicines Agency"
16/01/2025,"Hepatitis B (Paediatric)",BEVAC®,Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
16/01/2025,"Hepatitis B",BEVAC®,Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
09/10/2023,Covid-19,BIMERVAX,Vial,1,"HIPRA HUMAN HEALTH, S.L.U","European Medicines Agency"
20/03/2015,"Polio Vaccine - Oral (OPV) Trivalent",BIOPOLIO,Vial,10,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
20/03/2015,"Polio Vaccine - Oral (OPV) Trivalent",BIOPOLIO,Vial,20,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
25/08/2017,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","BIOPOLIO B1/3",Vial,10,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
